user_id,event_type,event_date
1,signup,2023-04-13
1,login,2023-04-13
1,view_product,2023-04-13
1,add_to_cart,2023-04-14
1,purchase,2023-04-14
2,signup,2023-06-29
2,login,2023-06-30
2,view_product,2023-07-01
3,signup,2023-04-03
3,login,2023-04-03
3,view_product,2023-04-05
3,add_to_cart,2023-04-05
4,signup,2023-01-15
5,signup,2023-04-17
5,login,2023-04-17
6,signup,2023-03-13
6,login,2023-03-13
7,signup,2023-01-21
7,login,2023-01-21
7,view_product,2023-01-23
7,add_to_cart,2023-01-24
7,purchase,2023-01-25
8,signup,2023-04-13
8,login,2023-04-14
8,view_product,2023-04-14
9,signup,2023-05-02
9,login,2023-05-03
10,signup,2023-03-16
10,login,2023-03-16
10,view_product,2023-03-16
11,signup,2023-03-29
11,login,2023-03-31
11,view_product,2023-03-31
11,add_to_cart,2023-03-31
11,purchase,2023-03-31
12,signup,2023-04-27
12,login,2023-04-29
13,signup,2023-04-10
13,login,2023-04-10
13,view_product,2023-04-11
14,signup,2023-04-14
14,login,2023-04-14
15,signup,2023-06-01
15,login,2023-06-01
15,view_product,2023-06-02
16,signup,2023-05-11
16,login,2023-05-12
16,view_product,2023-05-12
17,signup,2023-05-30
17,login,2023-05-31
17,view_product,2023-05-31
17,add_to_cart,2023-06-01
18,signup,2023-02-22
18,login,2023-02-24
18,view_product,2023-02-25
19,signup,2023-01-02
19,login,2023-01-03
19,view_product,2023-01-04
20,signup,2023-03-29
20,login,2023-03-29
20,view_product,2023-03-31
20,add_to_cart,2023-03-31
20,purchase,2023-04-01
21,signup,2023-06-07
21,login,2023-06-08
21,view_product,2023-06-08
22,signup,2023-02-07
22,login,2023-02-07
23,signup,2023-05-10
23,login,2023-05-11
23,view_product,2023-05-11
24,signup,2023-01-21
24,login,2023-01-22
24,view_product,2023-01-24
24,add_to_cart,2023-01-24
25,signup,2023-06-10
25,login,2023-06-10
25,view_product,2023-06-12
25,add_to_cart,2023-06-12
26,signup,2023-02-27
26,login,2023-03-01
26,view_product,2023-03-01
27,signup,2023-01-22
27,login,2023-01-22
27,view_product,2023-01-22
27,add_to_cart,2023-01-23
27,purchase,2023-01-23
28,signup,2023-03-30
28,login,2023-03-31
28,view_product,2023-03-31
29,signup,2023-02-18
29,login,2023-02-19
29,view_product,2023-02-20
30,signup,2023-02-28
31,signup,2023-06-19
31,login,2023-06-21
31,view_product,2023-06-21
31,add_to_cart,2023-06-21
31,purchase,2023-06-21
32,signup,2023-01-15
32,login,2023-01-16
32,view_product,2023-01-17
32,add_to_cart,2023-01-18
33,signup,2023-06-24
33,login,2023-06-25
33,view_product,2023-06-27
33,add_to_cart,2023-06-27
33,purchase,2023-06-28
34,signup,2023-02-20
34,login,2023-02-20
34,view_product,2023-02-22
35,signup,2023-04-18
35,login,2023-04-20
35,view_product,2023-04-22
36,signup,2023-02-24
36,login,2023-02-25
36,view_product,2023-02-25
37,signup,2023-03-05
38,signup,2023-05-11
38,login,2023-05-12
39,signup,2023-02-20
39,login,2023-02-21
39,view_product,2023-02-22
39,add_to_cart,2023-02-22
39,purchase,2023-02-23
40,signup,2023-05-15
40,login,2023-05-15
40,view_product,2023-05-17
41,signup,2023-01-21
41,login,2023-01-22
41,view_product,2023-01-24
42,signup,2023-03-14
42,login,2023-03-14
42,view_product,2023-03-15
42,add_to_cart,2023-03-15
43,signup,2023-06-16
43,login,2023-06-18
44,signup,2023-01-18
44,login,2023-01-18
44,view_product,2023-01-19
44,add_to_cart,2023-01-20
44,purchase,2023-01-21
45,signup,2023-05-12
46,signup,2023-03-30
46,login,2023-04-01
46,view_product,2023-04-03
47,signup,2023-03-01
47,login,2023-03-02
47,view_product,2023-03-02
48,signup,2023-01-14
48,login,2023-01-14
48,view_product,2023-01-14
48,add_to_cart,2023-01-15
48,purchase,2023-01-15
49,signup,2023-01-09
49,login,2023-01-11
50,signup,2023-03-31
50,login,2023-04-02
50,view_product,2023-04-02
51,signup,2023-02-22
51,login,2023-02-23
51,view_product,2023-02-23
51,add_to_cart,2023-02-23
52,signup,2023-05-10
53,signup,2023-03-25
53,login,2023-03-27
53,view_product,2023-03-27
53,add_to_cart,2023-03-27
53,purchase,2023-03-27
54,signup,2023-04-02
54,login,2023-04-03
54,view_product,2023-04-04
54,add_to_cart,2023-04-05
54,purchase,2023-04-06
55,signup,2023-04-21
55,login,2023-04-22
55,view_product,2023-04-22
56,signup,2023-06-21
56,login,2023-06-21
56,view_product,2023-06-21
56,add_to_cart,2023-06-22
57,signup,2023-01-08
57,login,2023-01-08
57,view_product,2023-01-08
57,add_to_cart,2023-01-09
57,purchase,2023-01-10
58,signup,2023-06-24
58,login,2023-06-24
58,view_product,2023-06-24
59,signup,2023-02-04
59,login,2023-02-05
60,signup,2023-03-22
60,login,2023-03-24
60,view_product,2023-03-26
60,add_to_cart,2023-03-26
61,signup,2023-06-13
62,signup,2023-02-19
62,login,2023-02-21
62,view_product,2023-02-21
62,add_to_cart,2023-02-22
63,signup,2023-04-14
63,login,2023-04-14
64,signup,2023-05-12
64,login,2023-05-14
64,view_product,2023-05-14
64,add_to_cart,2023-05-14
65,signup,2023-01-02
66,signup,2023-05-14
66,login,2023-05-14
66,view_product,2023-05-15
67,signup,2023-02-23
67,login,2023-02-25
67,view_product,2023-02-25
67,add_to_cart,2023-02-25
68,signup,2023-04-16
68,login,2023-04-18
68,view_product,2023-04-20
68,add_to_cart,2023-04-20
69,signup,2023-01-04
69,login,2023-01-04
69,view_product,2023-01-04
69,add_to_cart,2023-01-05
70,signup,2023-02-23
70,login,2023-02-24
71,signup,2023-05-26
71,login,2023-05-28
71,view_product,2023-05-30
71,add_to_cart,2023-05-31
71,purchase,2023-06-01
72,signup,2023-02-13
73,signup,2023-06-11
73,login,2023-06-12
73,view_product,2023-06-14
73,add_to_cart,2023-06-15
74,signup,2023-01-14
74,login,2023-01-16
74,view_product,2023-01-16
74,add_to_cart,2023-01-16
75,signup,2023-04-05
75,login,2023-04-07
75,view_product,2023-04-07
76,signup,2023-02-17
76,login,2023-02-19
76,view_product,2023-02-19
76,add_to_cart,2023-02-20
76,purchase,2023-02-21
77,signup,2023-01-15
77,login,2023-01-15
77,view_product,2023-01-15
77,add_to_cart,2023-01-15
77,purchase,2023-01-16
78,signup,2023-02-09
78,login,2023-02-11
78,view_product,2023-02-13
78,add_to_cart,2023-02-13
78,purchase,2023-02-14
79,signup,2023-03-23
79,login,2023-03-23
79,view_product,2023-03-25
80,signup,2023-04-21
80,login,2023-04-23
80,view_product,2023-04-23
80,add_to_cart,2023-04-23
80,purchase,2023-04-23
81,signup,2023-02-22
81,login,2023-02-24
81,view_product,2023-02-24
82,signup,2023-01-24
82,login,2023-01-25
83,signup,2023-06-03
83,login,2023-06-04
83,view_product,2023-06-04
83,add_to_cart,2023-06-05
84,signup,2023-05-04
84,login,2023-05-04
84,view_product,2023-05-05
84,add_to_cart,2023-05-06
84,purchase,2023-05-07
85,signup,2023-02-10
86,signup,2023-06-06
86,login,2023-06-08
86,view_product,2023-06-08
87,signup,2023-01-15
87,login,2023-01-15
88,signup,2023-02-14
88,login,2023-02-15
88,view_product,2023-02-15
89,signup,2023-03-06
89,login,2023-03-08
89,view_product,2023-03-09
89,add_to_cart,2023-03-09
90,signup,2023-03-30
91,signup,2023-03-12
91,login,2023-03-14
92,signup,2023-01-09
92,login,2023-01-11
92,view_product,2023-01-13
92,add_to_cart,2023-01-14
92,purchase,2023-01-14
93,signup,2023-03-29
93,login,2023-03-29
93,view_product,2023-03-29
94,signup,2023-05-09
94,login,2023-05-10
94,view_product,2023-05-12
95,signup,2023-05-16
96,signup,2023-03-04
96,login,2023-03-05
96,view_product,2023-03-05
96,add_to_cart,2023-03-06
96,purchase,2023-03-07
97,signup,2023-05-19
98,signup,2023-03-22
98,login,2023-03-24
98,view_product,2023-03-26
99,signup,2023-05-16
100,signup,2023-06-12
101,signup,2023-06-12
101,login,2023-06-12
101,view_product,2023-06-14
101,add_to_cart,2023-06-14
102,signup,2023-02-02
102,login,2023-02-04
102,view_product,2023-02-06
102,add_to_cart,2023-02-06
102,purchase,2023-02-07
103,signup,2023-05-03
103,login,2023-05-05
103,view_product,2023-05-05
104,signup,2023-01-05
104,login,2023-01-07
104,view_product,2023-01-08
104,add_to_cart,2023-01-09
105,signup,2023-02-10
105,login,2023-02-12
105,view_product,2023-02-13
106,signup,2023-01-28
106,login,2023-01-30
106,view_product,2023-01-31
107,signup,2023-05-15
108,signup,2023-03-13
108,login,2023-03-15
108,view_product,2023-03-15
109,signup,2023-01-12
109,login,2023-01-12
109,view_product,2023-01-12
110,signup,2023-06-11
110,login,2023-06-12
110,view_product,2023-06-12
111,signup,2023-02-02
111,login,2023-02-03
112,signup,2023-02-17
112,login,2023-02-19
113,signup,2023-05-31
113,login,2023-05-31
113,view_product,2023-05-31
114,signup,2023-03-03
114,login,2023-03-04
114,view_product,2023-03-04
115,signup,2023-02-06
115,login,2023-02-08
115,view_product,2023-02-09
115,add_to_cart,2023-02-09
115,purchase,2023-02-10
116,signup,2023-04-09
116,login,2023-04-09
117,signup,2023-06-21
117,login,2023-06-21
117,view_product,2023-06-21
117,add_to_cart,2023-06-22
117,purchase,2023-06-23
118,signup,2023-04-14
118,login,2023-04-15
118,view_product,2023-04-15
118,add_to_cart,2023-04-15
118,purchase,2023-04-15
119,signup,2023-02-04
119,login,2023-02-05
119,view_product,2023-02-06
120,signup,2023-04-11
120,login,2023-04-12
121,signup,2023-06-24
121,login,2023-06-26
121,view_product,2023-06-28
121,add_to_cart,2023-06-28
122,signup,2023-05-11
122,login,2023-05-12
122,view_product,2023-05-12
123,signup,2023-01-01
123,login,2023-01-02
123,view_product,2023-01-04
123,add_to_cart,2023-01-04
123,purchase,2023-01-05
124,signup,2023-01-05
124,login,2023-01-07
124,view_product,2023-01-08
124,add_to_cart,2023-01-09
125,signup,2023-05-22
125,login,2023-05-23
126,signup,2023-04-13
126,login,2023-04-13
126,view_product,2023-04-15
126,add_to_cart,2023-04-15
126,purchase,2023-04-15
127,signup,2023-01-27
127,login,2023-01-29
127,view_product,2023-01-29
